CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
ECA,Europe & Central Asia,Aggregates,Regional,2018,HeadCount,LPL,3.2,0.0443789869214379,3.642544,0.0631434576294094,3.988921,0.0720546028740788,0.0187644707079715,0.0276756159526409
ECA,Europe & Central Asia,Aggregates,Regional,2018,HeadCount,UPL,5.5,0.11984727425107,6.11676,0.13158524853581,5.917937,0.124725031201705,0.0117379742847397,0.00487775695063501
ECU,Ecuador,LAC,National,2018,HeadCount,EPL,1.9,0.03311491,2.195249,0.03575591,2.308166,0.03949938,0.002641,0.00638447
ECU,Ecuador,LAC,National,2018,HeadCount,LPL,3.2,0.09658606,3.642544,0.0969858,3.988921,0.1129847,0.000399739999999996,0.01639864
ECU,Ecuador,LAC,National,2018,HeadCount,UPL,5.5,0.2420329,6.11676,0.237157,5.917937,0.2253826,-0.00487589999999999,-0.0166503
EGY,"Egypt, Arab Republic of",MNA,National,2018,HeadCount,EPL,1.9,0.03247788,2.195249,0.004439661,2.308166,0.00531534,-0.028038219,-0.02716254
EGY,"Egypt, Arab Republic of",MNA,National,2018,HeadCount,LPL,3.2,0.2630573,3.642544,0.05679055,3.988921,0.08553241,-0.20626675,-0.17752489
EGY,"Egypt, Arab Republic of",MNA,National,2018,HeadCount,UPL,5.5,0.7057169,6.11676,0.3586853,5.917937,0.3289369,-0.3470316,-0.37678
ESP,Spain,OHI,National,2018,HeadCount,EPL,1.9,0.006780911,2.195249,0.006877568,2.308166,0.007086381,9.6657e-05,0.00030547
ESP,Spain,OHI,National,2018,HeadCount,LPL,3.2,0.01092378,3.642544,0.01063159,3.988921,0.01204996,-0.000292189999999999,0.00112618
ESP,Spain,OHI,National,2018,HeadCount,UPL,5.5,0.02145559,6.11676,0.0202142,5.917937,0.01938819,-0.00124139,-0.0020674
EST,Estonia,ECA,National,2018,HeadCount,EPL,1.9,0.00268706,2.195249,0.00268706,2.308166,0.003218222,0,0.000531162
EST,Estonia,ECA,National,2018,HeadCount,LPL,3.2,0.005317482,3.642544,0.005510665,3.988921,0.00586382,0.000193183,0.000546338
EST,Estonia,ECA,National,2018,HeadCount,UPL,5.5,0.009805772,6.11676,0.009805772,5.917937,0.009576397,0,-0.000229375
ETH,Ethiopia,SSA,National,2018,HeadCount,EPL,1.9,0.2231319,2.195249,0.2150019,2.308166,0.2439853,-0.00813,0.0208534
