CountryCode,ProjYear,p20,p80
PHL,2010,2.37300142064779,7.58007692065383
POL,2010,8.76730661822153,22.679170273505
PRT,2010,14.2055534430755,37.4616160533467
ROU,2010,5.51908294052138,12.970975070667
RUS,2010,8.68258774643814,
RWA,2010,0.86850904286642,2.75862408711688
WSM,2010,4.09900078945232,
STP,2010,99.99940397351,
SEN,2010,1.34939217693526,4.26282827370785
SRB,2010,6.70914985623613,15.7791195368595
SYC,2010,7.7198471130086,20.1709366876419
SLE,2010,99.99940397351,
SVK,2010,14.2389385629461,30.3849156547347
SVN,2010,22.3883453009638,44.5844382091298
SLB,2010,1.44164313728018,4.4438530805345
ZAF,2010,2.12460110854348,14.59565566667
SSD,2010,0.988547098465516,4.51897523518112
ESP,2010,18.9177171742604,54.3767301343405
LKA,2010,3.27377224528302,8.60082097527409
LCA,2010,4.97578522666289,21.7369360491288
SDN,2010,2.05778300034641,
SUR,2010,,
SWE,2010,,64.9556289333588
CHE,2010,35.0469448080252,89.2948357736453
SYR,2010,4.04900164599942,10.8067013570706
TWN,2010,21.0993468101627,54.8221768443723
TJK,2010,3.1297216505651,7.78012932151044
TZA,2010,,
THA,2010,5.78292475831937,18.000521776324
TLS,2010,1.63332679393839,3.60514349439078
TGO,2010,,3.54136129869333
TON,2010,,13.2659176780961
TTO,2010,10.411302790238,36.2063202520934
TUN,2010,4.41861819690487,12.846990865667
TUR,2010,6.43597782645475,20.4729836651899
TKM,2010,2.40808006630222,7.91167422824276
TUV,2010,3.36020447885455,10.1782346343504
UGA,2010,,3.8753353501923
UKR,2010,7.47894901858067,15.351919335866
ARE,2010,34.1351948167122,99.99940397351
GBR,2010,22.6315675830524,59.9271600898253
USA,2010,26.0698814612264,88.5068312520521
URY,2010,8.03507247606838,31.1702365177384
UZB,2010,1.61291854808588,4.09452498060134
VUT,2010,2.22467799087792,
VEN,2010,3.88190165973036,16.1500900372587
VNM,2010,3.4722310327448,10.1882551744285
PSE,2010,5.49039545522228,
YEM,2010,2.46452016476536,6.41825456689157
ZMB,2010,0.665990888458503,
ZWE,2010,1.63644385143138,5.73126306091468
ALB,2011,4.61335334636179,10.8137918563144
DZA,2011,4.82312649035591,10.5625985647212
AGO,2011,1.29362427494432,5.0067983501828
ARG,2011,,
ARM,2011,3.63104145034891,8.36960581627234
AUS,2011,,
AUT,2011,29.8106386236242,73.6334189814788
AZE,2011,11.6938541709564,22.474369831946
BGD,2011,,
BLR,2011,9.62387219248633,
BEL,2011,27.6480759689319,60.2590543191571
BLZ,2011,,
BEN,2011,1.0919182856872,3.5437129216106
BTN,2011,3.49367966857086,10.5259796097841
BOL,2011,4.16884991077689,17.7220182894197
BIH,2011,9.95684488916907,26.793562496596
BWA,2011,2.15026935858967,11.8260055135594
BRA,2011,4.88614692308824,
BGR,2011,,
BFA,2011,1.19718598998947,3.22869500834766
BDI,2011,,2.13085017920214
CPV,2011,3.17638815916508,
CMR,2011,1.44055351599109,5.66232493459011
